candidate_name,article_title,date,source_url,article_text
Benhur Abalos,Abalos: Let NFA buy and sell rice again to help farmers,1-Apr-25,https://politiko.com.ph/2025/04/01/abalos-let-nfa-buy-and-sell-rice-again-to-help-farmers/politiko-lokal/,"Alyansa para sa Bagong Pilipinas senatorial candidate Benhur Abalos is pushing for the amendment of the Rice Tariffication Law (RTL) to strengthen the National Food Authority (NFA) to safeguard local farmers and stabilize rice prices.

Abalos said the shortcomings of the RTL have become evident over time. He said the Senate and the House of Representatives need to conduct a thorough review of the law and make the necessary changes.

He noted that the RTL, introduced in 2019 and amended in 2024, was meant to lower rice prices and liberalize imports but has exposed significant flaws that demand congressional action.

Abalos said the law stripped the NFA of its authority to manage rice importation and limited its role to maintaining rice stocks for emergencies and calamities, weakening the government?s capacity to stabilize prices and protect local farmers from unfair competition and market manipulation.

He proposed providing NFA with sufficient funding and logistical support, including trucks that can be deployed to purchase rice directly from farmers and sell it at fair prices.

?Isipin lang natin ito, kung ang NFA magkaroon ng tamang pondo, malaking pondo, at bibilhin niya lahat ng mga bigas ng ating mga magsasaka sa tamang presyo na hindi malulugi. At ibebenta ito sa publiko ng tamang presyo at umiikot ang perang ito. Talaga maaalalayan natin ang ating mga magsasaka,? he explained.

?Kasi ang nangyayari ngayon ang binibili nila, hindi nila ibibenta, naka-stock lang. At ito ang binibigay during baha, calamity or earthquake. Kaya sayang ang kapangyarihan na yan ng NFA na makatulong sa ating mga magsasaka,? added Abalos, a former Secretary of the Department of the Interior and Local Government.

If elected to the Senate, Abalos vowed to file and support legislation that would amend the RTL, restore the buying and selling authority of the NFA, and establish mechanisms to ensure rice price stability and long-term food security for the nation.

?That?s the problem I see, and the solution I see to help our farmers is to amend the Rice Tariffication Law,? Abalos stressed."
Jerome Adonis,Migrante International supports trade union leader Jerome Adonis for Senate!,14-Aug-24,https://migranteinternational.org/migrante-supports-jerome-adonis-for-senate/,"Migrante International and its member overseas Filipino organizations are proud to support trade union leader Jerome Adonis in his upcoming Senate bid. As the Secretary General of Kilusang Mayo Uno and a veteran labor rights advocate, Adonis is tireless in fighting for the rights of workers and the common people.
Jerome Adonis has a strong record of supporting OFWs and everyday Filipinos. On the streets and in factories, he serves as an advocate for the millions of workers who are forced to work dirty, dangerous, and demeaning jobs both at home and abroad. Migrant workers have for years worked with Adonis to campaign for living wages, job security, and dignified work. His leadership in working class struggles resonate with many OFWs who are forced abroad by poor economic conditions only to find exploitative and contractual work in other countries. We are confident that Jerome will bring the cause of OFWs into the Senate as a true representative of Filipino workers everywhere.
As a leader for genuine and anti-imperialist trade unionism, Adonis is part of the cause of international working class solidarity. He serves as a Philippine representative to the International Trade Union Confederation. Jerome is also the Second Deputy Secretary to the International League of Peoples? Struggle. In global conferences, Adonis advocates for collective workers? struggles against foreign monopoly capital. He bridges the struggle of refugees of countries like Palestine to the Filipino working class. He fights not only for the rights of Filipino workers and migrants, but all migrants and workers of the world.
Today, Jerome Adonis and the Makabayan Coalition represent a genuine opposition to the country?s broken political and economic order. Committed leaders like France Castro, Arlene Brosas, and Jerome Adonis represent our people?s aspirations to break free from poverty and hunger. Our movement of overseas Filipinos overseas is determined to bring this truly people?s alternative into the Senate and beyond.
Manggagawa, progresibo, para sa migranteng Pilipino. Dalhin si Jerome Adonis sa Senado! #AdonisSaSenado"
Jerome Adonis,"Jerome Adonis, ibinahagi ang karanasan sa likod ng pagiging isang boses ng mga manggagawa",29-Sep-24,https://dagupan.bomboradyo.com/jerome-adonis-ibinahagi-ang-karanasan-sa-likod-ng-pagiging-isang-boses-ng-mga-manggagawa/,"Ang bawa?t kumpaniya ay nangangailagan ng mga manggagawang magbibigay ng serbisyo para magawa ang mga trabahong kinakailangan at mapagana ang produksyon nito.
Sabi nga nila, ang mga manggagawa ang nagsisilbing instrumento para matugunan ang iba?t ibang pangangailangan ng bawa?t indibidwal.
Gaya na lamang sa ating bansa, kung saan ? ang bawa?t mga manggagawa ang may malaking gampanin pagdating sa mga serbisyo kahit saan mang establishimento. Gaya na lamang ng mall, hospital, paaralan at iba pang industriya.
Kung kaya?t ganito na lamang din ang pagsulong at panawagan ng iba?t ibang sektor sa pagsigaw ng kanilang karapatan.
Sa ating bansa, isa si Sir Jerome Adonis, ang Secretary General ng Kilusang Mayo Uno sa mga patuloy na nagbibigay boses sa mga manggagawang lumalaban ng patas ngunit nanantiling salat pa rin at nalulugmok sa hirap.
Ayon kay Adonis, nagsimula ito sa iba?t ibang uri ng trabaho na siyang nagpamulat sa kaniya sa realidad ng sitwasyon sa labor sector.
Aniya, bagama?t hindi ito sanay na mamuno sa isang organisasyon, ay nilakasan pa rin nito ang kaniyang loob para magbigay ng lakas ng loob sa mga mangagagawang nangangailanagn ng boses para mapakinggan ng pamahalaan.
Isa naman aniya sa pinaka-satisfying na parte sa kaniyang tungkulin ay sa kabila ng mga pagbabanta at panggigipit na nararanasan ng kanilang organisasyon, ay masaya parin siya tuwing nakikita na nananatili matibay ang pundasyon sa pakikipaglaban ng mga manggagawa
Sa kabila naman ng hirap at dagok sa kaniyang trabaho bilang Secretary General, pinanghahawakan niya ang patuloy na nakikitang mga kakulangan sa pagbibigay ng nararapat sa mga manggagawa sa bansa."
Jerome Adonis,Makabayan welcome Jerome Adonis senatorial bid: ?A staunch voice of workers?,4-Aug-24,https://politiko.com.ph/2024/08/04/makabayan-welcome-jerome-adonis-senatorial-bid-a-staunch-voice-of-workers/uncategorized/,"ACT Teachers party-list Rep. France Castro and Gabriela Women?s Party Rep. Arlene Brosas welcomed the senatorial bid of Kilusang Mayo Uno (KMU) Secretary General Jerome Adonis.
?As a fellow Makabayan senatorial candidate, Jerome is indeed a welcome addition to our slate and would be a staunch voice of workers in the elections,? Castro said.
?His extensive experience as a labor leader and his deep understanding of workers? issues make him an excellent candidate to represent the interests of the Filipino working class in the Senate,? Castro added.
Castro also stressed the importance of having genuine representatives of marginalized sectors in the upper chamber of Congress.
Brosas said Adonis? senatorial bid ?represents a significant step towards genuine representation of workers and the common people in the halls of the Senate.?
In a gathering of workers from Nexperia Philippines Inc. Workers Union last Friday, Adonis announced his intention to run for the 2025 senatorial election."
Jerome Adonis,Makabayan bloc lawmakers welcome KMU chief?s senatorial bid,4-Aug-24,https://newsinfo.inquirer.net/1969348/makabayan-bloc-lawmakers-welcome-kmu-chiefs-senatorial-bid,"MANILA, Philippines ? Members of the House of Representatives? Makabayan bloc welcomed on Sunday the announcement of Kilusang Mayo Uno (KMU) Secretary General Jerome Adonis to run for senator in the upcoming 2025 elections.
ACT Teachers Partylist Rep. France Castro and Gabriela Party-list Rep. Arlene Brosas supported Adonis? announcement, whom they said answered the call of the Makabayan Coalition for a ?full slate of progressive candidates representing various sectors of Philippine society.?
?As a fellow Makabayan senatorial candidate, Jerome is indeed a welcome addition to our slate and would be a staunch voice of workers in the elections. His extensive experience as a labor leader and his deep understanding of workers? issues make him an excellent candidate to represent the interests of the Filipino working class in the Senate,? Castro said.
?We welcome the announcement of Ka Jerome Adonis as a senatorial candidate. His candidacy represents a significant step towards genuine representation of workers and the common people in the halls of the Senate,? Brosas, on the other hand, said.
Castro highlighted the need for the upper chamber to have ?genuine representatives of marginalized sectors.?
Voice of workers
?For too long, the Senate has been dominated by traditional politicians who are disconnected from the struggles of ordinary Filipinos. Jerome Adonis? candidacy offers a chance to bring the voice of workers directly into the halls of power,? she pointed out.
According to the lawmaker, Adonis? platform focuses on living wages, workers? rights, and national industrialization, which she said are ?crucial issues that need to be addressed if we are to achieve genuine progress and development for our country.?
Brosas echoed this, saying Adonis? platform ?focuses on living wages, workers? rights, food security, new politics versus corrupt governance, and the defense of Philippine sovereignty against foreign aggression, [which] resonates deeply with the struggles of Filipino workers and other marginalized sectors.?
She also worked with Adonis to craft pro-worker legislation such as House Bill 7568 or the P750 across-the-board wage hike bill.
Both lawmakers called progressive and democratic forces to rally behind Adonis? candidacy and ensure that the ?voice of workers and the marginalized sectors will be heard in the 2025 polls.?"
Wilson Amad,Wilson Amad says interreligious dialogue to help keep peace in Mindanao,23-Mar-25,https://www.gmanetwork.com/news/topstories/nation/940213/wilson-amad-says-interreligious-dialogue-to-help-keep-peace-in-mindanao/story/,"Independent senatorial candidate Wilson Amad discussed his proposals on how to keep the peace between religious communities in Mindanao.

Amad stated that he always pushes for interreligious dialogue.

?Walang separate peace for Muslims. Walang separate peace for the Lumad. Walang separate peace for Christians. Both groups should work together para sa katahimikan,? he said in an interview with Emmanuel Baylosis on KananPH on Saturday.

(There is no separate peace for Muslims. There is no separate peace for the Lumad. There is no separate peace for Christians. Both groups should work together for peace.)

Amad said interreligious dialogue means religious groups helping each other and adapting collective stances against injustice.

Other Stories
Senate bets bat for Muslim prayer breaks, MSME support
Sarangani aspirants pledge to preserve integrity of 2025 polls
Comelec: Negros bet who rained down money on crowd can?t be charged with violation
?In that way, maachieve natin ang totoong katahimikan dito sa Mindanao (In that way, we can achieve true peace here in Mindanao,) where everybody is respected, kasi diversity is also the beauty of God?s people. We should find what are the unifying aspects in the humanity of both the Lumad, the Muslim, and the Christians in Mindanao,? he said.

Former Senator Francis Pangilinan, in a statement, said he supports moves in the House of Representatives to combat fake news.

?Mahalaga ang pagdinig na ito upang labanan ang disimpormasyon?hindi lang tuwing halalan kundi sa araw-araw nating talakayan,? he said.

(This hearing is important in our fight against disinformation?not just during elections, but for everyday discussions.)

He said that he previously pushed for stiff penalties for spreading fake news on social media platforms during his tenure as a senator in 2022.

?Dapat managot ang social media platforms at advertisers?walang puwang ang kasinungalingan sa demokrasya,? he added.

(Social media platforms and advertisers must be held accountable?lies have no place in democracy.)

Bunyog Partylist senatorial bet David D?Angelo took to social media to claim that removing tax on oil will not bring down electricity prices.

?Kapag inalis mo ang buwis na kabuuan sa petrolyo, ang makikinabang dyan ay mga oil companies at ang fossil fuel industry na nagpapalala sa climate change at sumisira sa kalikasan,? D?Angelo stated.

(If you remove the entire tax on petroleum, the only ones who will benefit from it are the oil companies and fossil fuel industry that are worsening climate change and destroying nature.)

Among his proposed solutions are the removal of the Value-Added Tax (VAT) for residential consumers, the removal of system loss penalties for residential consumers, reforms within electric cooperatives, and EPIRA reforms.

?Commercial users can pay for the electricity as is, since may kita naman sila. Ang unang dapat bigyan ng relief ay mga residential consumers? (Commercial users can pay for the electricity as is, since they have income. The first ones who should be provided with relief are the residential consumers?) Taxes are needed by the government, so let's not remove it totally; just remove the burden from the sector that is burdened by the tax. Hindi natin dapat alisin ang tax sa langis o petrolyo kundi sa bill sa kuryente (We should not remove tax from oil or petroleum, but from the electricity bills),? he added.

He also said that tax should either be removed or suspended for operators of public utility vehicles.

Ariel Querubin joined a farmers? rally on Saturday and called for a crackdown on rice smugglers and hoarders.

He stated that the government?s rice importation policies were forcing farmers to lower their prices to disadvantageous amounts as low as P14 per kilo for locally grown palay.

?Nag-iimport tayo ng bigas. Tapos mas mura nilang binebenta kaysa dun sa nasaka natin, yung binebenta natin. Kawawa talaga yung mga lokal nating magsasaka kasi binabarat sila,? he said.

(We are importing rice. Then it will be sold cheaper than what is harvested and sold in the country. Our local farmers are pitiful because they are being lowballed.)

Querubin said that the government should be mandated to prioritize the purchase of local products instead of imported produce.

?Ipupush din natin na lahat ng agencies ng gobyerno na unahin muna na bilhin yung mga produkto ng ating magsasaka kaysa naman yung imported,? he said.

(We will push all agencies of the government to buy the products of our farmers instead of the imported ones.)

?Ang daming mga imbestigasyon na nangyayari sa Senado, sa Kongreso. Pero mayroon na ba tayong napakulong na smugglers, mga hoarders na yan? ... Hanggang ngayon?kapag may nabangga na sila na malaking pangalan ay naduduwag naman na sila. Kaya ang kailangan natin ay isang matapang na senador,? he added.

(So many investigations have happened at the Senate and Congress. But have we detained any smugglers or hoarders? Up until now, they get scared when they go against influential people. That?s why we need a brave senator.)

Partido Pilipino sa Pagbabago candidate Allen Capuyan spoke before the Alpha Kappa Rho National Council to discuss his platforms.

?Sa darating na halalan, mahalagang ipaglaban natin ang adyenda ng mamamayan, kapayapaan, kaunlaran, at mas matatag na komunidad. Isang pribilehiyo na makasama ang Akrho, isang lehitimong samahan na may malalim na kontribusyon sa peace and order, community development, at nation-building,? he said.

(In the coming elections, it is important that we fight for our agenda for the public, peace, development, and a stronger community. It is a privilege to be joined by Akrho, a legitimate group that has deep contributions to peace and order, community development, and nation-building.)

Ahkro, established in the Philippines in 1973, is a fraternity that encourages ?advancement of a just and humane society, always seeking truth, enjoyment of peace, harmony, and goodwill with other fraternities.? ?VBL, GMA Integrated News"
Wilson Amad,SC finds COMELEC guilty of contempt in VP aspirant Amad case,24-Nov-22,https://politiko.com.ph/2022/11/24/sc-finds-comelec-guilty-of-contempt-in-vp-aspirant-amad-case/politiko-lokal/,"The Supreme Court (SC) has found the Commission on Elections (COMELEC) guilty of contempt for failing to implement its halt order against declaring a vice presidential aspirant as a nuisance candidate for the 2022 elections.
In an 18-page decision, the SC said that it issued a TRO dated Jan. 20 that ordered the poll body to include in the ballots the name of vice presidential candidate Wilson Caritero Amad but ?it is undisputed that the COMELEC did not comply with such directive, considering that, as explained by the COMELEC, several pre-election activities had already commenced even before the issuance of the TRO.?
Because of this, the SC ruled that ?the Court also finds it proper to cite the members of the COMELEC in contempt for violation of the TRO, and to impose the penalty of severe reprimand.?
?On this note, however, the Court recognizes that the composition of the COMELEC has changed since the issuance of the TRO and its consequent violation,? the SC noted.
?As such, the Court clarifies that the resolution of this case only affects the COMELEC and its membership who were the ones directly responsible for the TRO?s violation,? it added.
Since Amad challenged in his petition to the SC the COMELEC rulings that declared him a nuisance candidate, the SC also declared his petition as moot and academic since the 2022 national elections are already over.
The COMELEC First Division issued a Dec. 15, 2021 resolution that declared Amad a nuisance candidate that was affirmed by the COMELEC en banc in a Dec. 20, 2021 ruling.
The COMELEC en banc later issued a Jan.3 resolution that turned down Amad?s motion for reconsideration for failure to be filed on time.
?With regard to the COMELEC?s ruling that Amad?s motion for reconsideration was defective and filed out of time, a plain review of the records reveal otherwise,? the SC said.
The SC pointed out, as shown by the evidence presented by Amad, that ?contrary to ruling of the COMELEC, the same was not belatedly filed.?
Because of this, the SC issued a TRO on Jan. 20 against the COMELEC rulings.
However, the COMELEC informed the SC in its comments that the generation of the final ballot face templates were done on Jan. 9 and the subsequent generation of the serialized machine-readable official ballots on Jan. 15.
The COMELEC later informed the SC that the poll body has commenced the configuration of the secure digital cards for the vote-counting machines that started Jan. 23.
In the same decision, the SC also told the COMELEC that poll body erred in declaring Amad a nuisance candidate.
?Relevantly, as pointed out by Amad in the instant petition, the Constitution only prescribes age, citizenship, voting and residence qualifications to be able to run for Vice President. Clearly, being known throughout the Philippines and having an established network nationwide are not qualifications for Vice President. In fact, the lack thereof are not even grounds to be declared as a nuisance candidate in accordance with the Omnibus Election Code,? it ruled."
Wilson Amad,"SC halts Comelec move to declare VP wannabe Wilson Amad as nuisance bet
",21-Jan-22,https://politiko.com.ph/2022/01/21/sc-halts-comelec-move-to-declare-vp-wannabe-wilson-amad-as-nuisance-bet/headlines/,"The Supreme Court (SC) has issued a temporary restraining order (TRO) against the ruling of the Commission on Elections that declared vice presidential aspirant Wilson Caritero Amad as a nuisance candidate.
The SC granted the petition of Amad who assailed the Dec. 13 resolution of the COMELEC and the poll body?s Jan. 3 order that denied his motion for reconsideration.
In the TRO issued Jan. 20, the SC directed the COMELEC ?to comment on the petition within a non-extendible period of ten (10) days from notice hereof.?
?Meanwhile, a temporary restraining order is issued, effectively immediately and continuing until further orders from this Court, enjoining You, respondent COMELEC, your agents, representatives, or persons acting in your place or stead, from enforcing the assailed Resolution dated December 13, 2021 and Order dated January 3, 2022 in SPA No. 21-057 (DC)(MP),? it said.
The SC noted the Dec. 13 COMELEC resolution declared Amad a nuisance candidate and canceled his certificate of candidacy (COC) for vice-president.
The Jan. 4 COMELEC order denied his motion for reconsideration for being defective and for being filed out of time."
Wilson Amad,VP aspirant gets halt order vs Comelec order declaring him as nuisance bet,20-Jan-22,https://www.philstar.com/headlines/2022/01/20/2155230/vp-aspirant-gets-halt-order-vs-comelec-order-declaring-him-nuisance-bet,"MANILA, Philippines ? The Supreme Court has stopped the Commission on Elections from implementing its order declaring vice presidential aspirant Wilson Caritero Amad as a nuisance candidate for the 2022 elections.
The SC en banc issued a temporary restraining order against the Comelec enjoining it from enforcing its resolution dated December 13 that declared Amad as a nuisance candidate and cancelled his Certificate of Candidacy for vice president.
The high court also enjoined the Comelec from enforcing its order that threw out Amad?s motion for reconsideration for ?being defective and for being filed out of time.?
The Comelec was given a non-extendible period of 10 days from notice of the en banc order to file its comment.
On Wednesday, senatorial aspirant Norman Cordero Marquez also secured the same relief from the SC. Like Amad, Marquez was also declared as a nuisance candidate.
It is unclear how this will affect the Comelec?s printing of official ballots for the 2022 polls.
Earlier this week, Comelec director Lai David said that the final ballot face, which contains the list of the final candidates, is already ready.
Printing of the ballots may ?tentatively? start on January 20.
But Comelec spokesperson James Jimenez also admitted that ?the printing committee, taking into consideration various technical factors, has moved the start of printing to a date yet to be announced.?
?The committee assures the public that this later start will not negatively impact the Comelec?s preparations for the elections,? he added.
Jimenez has yet to reply to reporters? questions if the names of Amad and Marquez will be added to the ballots. "
Wilson Amad,SC finds Comelec guilty of contempt in Amad case,25-Nov-22,https://www.philstar.com/nation/2022/11/25/2226235/sc-finds-comelec-guilty-contempt-amad-case,"MANILA, Philippines ? The Supreme Court (SC) has found the Commission on Elections (Comelec) guilty of contempt for failure to implement a restraining order, directing the poll body to include the name of Wilson Caritero Amad in the printing of ballots as a candidate for vice president in the May 2022 general elections.
?Nevertheless, the members of the Commission on Elections are found guilty of contempt of the Supreme Court for their disobedience to the Court?s lawful directive, specifically the Temporary Restraining Order dated January 20, 2022,? the SC said in an 18-page decision signed by Associate Justice Samuel Gaerlan.
?Accordingly, they are reprimanded for this disobedience,? it added.
Chief Justice Alexander Gesmundo concurred with the decision along with Associate Justices Marvic Leonen, Alfredo Benjamin Caguioa, Ramon Paul Hernando, Amy Lazaro-Javier, Rodil Zalameda, Mario Lopez, Ricardo Rosario, Jhosep Lopez, Japar Dimaampao, Jose Midas Marquez and Maria Filomena Singh.
Associate Justices Henri Jean Paul Inting and Antoni Kho Jr. did not take part in the decision, which was promulgated on July 5, 2022 and made public on Nov. 22.
Comelec Chairman George Garcia said in a Viber message that they ?thank the SC? for its guidance, emphasizing that similar incidents will not happen in the future while ?proper and timely scheduling of activities and sufficient info campaign will be ensured.?
Prior to this, Amad filed his certificate of candidacy for vice president but was declared by Comelec as a ?nuisance candidate.?
Amad filed his motion for reconsideration before the Comelec on Dec. 20, 2021 that was eventually denied by the poll body on Jan. 3, 2022, prompting him to file a petition on Jan. 4, 2022 asking the SC to issue a temporary restraining order against the Comelec?s decision as it committed ?abuse of discretion.?
The SC then issued a TRO on Jan. 20, 2022 and directed the Comelec to include Amad?s name in official ballots for the May 9 polls, but was not implemented by the poll body, saying that it already started its preparations for ballot printing before the restraining order came out.
?Notably, without considering Amad?s statutory right to challenge the Comelec?s disposition, the Comelec proceeded with its pre-election activities, and even commenced the printing of the serialized ballots without Amad?s name on Jan. 23, 2022 after the court?s issuance of the TRO,? the SC said.
"
